t,driver,x,y
106,ZHO,10854,15250
108,ALB,1257,-1378
108,ALO,1660,3013
108,BOT,10847,12497
108,COL,10003,12016
108,GAS,2532,5502
108,HAM,1111,-2961
108,HUL,1389,54
108,LEC,462,-5677
108,MAG,2420,5137
108,NOR,-1442,-4089
108,OCO,2547,5930
108,PER,1196,-2045
108,PIA,-1339,-4522
108,RIC,1898,4459
108,RUS,-353,-5723
108,SAI,825,-5162
108,STR,4507,8019
108,TSU,3939,7524
108,VER,1174,-2284
108,ZHO,10990,14044
110,ALB,1174,-2283
110,ALO,1530,1591
110,BOT,10032,12032
110,COL,8993,11462
110,GAS,2274,4907
110,HAM,1026,-3873
110,HUL,1278,-1149
110,LEC,-150,-5782
110,MAG,1879,4419
110,NOR,-1497,-3412
110,OCO,2454,5212
110,PER,1125,-2818
110,PIA,-1459,-3969
110,RIC,1685,3270
110,RUS,-1006,-5198
110,SAI,437,-5692
110,STR,3834,7433
110,TSU,2989,6698
110,VER,1091,-3189
110,ZHO,11066,13023
112,ALB,1077,-3334
112,ALO,1380,-39
112,BOT,8915,11417
112,COL,7713,10724
112,GAS,1783,4118
112,HAM,897,-4887
112,HUL,1190,-2108
112,LEC,-937,-5287
112,MAG,1675,3167
112,NOR,-1496,-2785
112,OCO,1850,4352
112,PER,1044,-3689
112,PIA,-1492,-3562
112,RIC,1549,1799
112,RUS,-1364,-4436
112,SAI,-195,-5772
112,STR,3168,6855
112,TSU,2546,5881
112,VER,983,-4295
112,ZHO,10659,12358
114,ALB,982,-4309
114,ALO,1261,-1340
114,BOT,7799,10778
114,COL,6573,9815
114,GAS,1672,3140
114,HAM,634,-5526
114,HUL,1092,-3169
114,LEC,-1388,-4351
114,MAG,1557,1883
114,NOR,-1483,-2346
114,OCO,1698,3401
114,PER,947,-4588
114,PIA,-1498,-3286
114,RIC,1417,361
114,RUS,-1480,-3773
114,SAI,-733,-5493
114,STR,2671,6383
114,TSU,2340,4995
